d4a	PORTOUTSPECIAL_DSZ32_ASZ32_SC1
d4c	PORTIN_DSZ32_ASZ32_SC1
d4e	PORTINSPECIAL_DSZ32_ASZ32_SC1
d60	STA_DSZ32_ASZ32_SC4_WR
d67	LEA_DSZ32_ASZ32_SC4
d77	LEA_DSZ32_ASZ32_SC8
d7e	PORTINSPECIAL_DSZ32_ASZ32_SC8
d81	STA_DSZ32_ASZ64_SC1_WU
d8c	PORTIN_DSZ32_ASZ64_SC1
da4	STAPPHYS_DSZ32_ASZ64_SC4
db7	LEA_DSZ32_ASZ64_SC8
e48	PORTOUT_DSZ64_ASZ32_SC1
e4a	PORTOUTSPECIAL_DSZ64_ASZ32_SC1
e4c	PORTIN_DSZ64_ASZ32_SC1
e4e	PORTINSPECIAL_DSZ64_ASZ32_SC1
e6a	PORTOUTSPECIAL_DSZ64_ASZ32_SC4
e87	LEA_DSZ64_ASZ64_SC1
e97	LEA_DSZ64_ASZ64_SC2
ea4	STAPPHYS_DSZ64_ASZ64_SC4
ea7	LEA_DSZ64_ASZ64_SC4
eb4	STAPPHYS_DSZ64_ASZ64_SC8
eb7	LEA_DSZ64_ASZ64_SC8
f48	PORTOUT_DSZ8_ASZ32_SC1
f4a	PORTOUTSPECIAL_DSZ8_ASZ32_SC1
10e0	SETTRACKERS
10e1	KMASKDEALLOCATEMXMPRF
10e2	DEALLOCATEMXMPRF
1660	SIMDSTD_DSZ64
16a9	KMOVI2K_DSZ64
1909	TICKLELA_DSZ32_ASZ16_SC1
1989	TICKLELA_DSZ32_ASZ64_SC1
1a40	SIMDLD_DSZ64_ASZ32_SC1
1b0a	LDTICKLE_DSZ8_ASZ16_SC1
1b49	TICKLELA_DSZ8_ASZ32_SC1
1b89	TICKLELA_DSZ8_ASZ64_SC1
1b8a	LDTICKLE_DSZ8_ASZ64_SC1
1e40	SIMDSTA_DSZ64_ASZ32_SC1
2010	FMOV
20a5	MOVINT2X87
21c0	WUMERGE_FLAGS
21c3	WUMERGE_SIGNEXP17
2240	WUINSERT_FLAGS
2342	FCMOV_CONDB
2375	FCALCTW
2377	FPORDATATYPE
24d0	FPREADROM_DTYPENOP
2661	FSTDDOAST_SEXPT16
2761	FSTDDOAST_MANT64
2a40	FLD_SEXPT16_ASZ32_SC1_SF
2a80	FLD_SEXPT16_ASZ64_SC1_SF
2a83	FILD_DSZ64_ASZ64_SC1_NSF
2b41	FLD_MANT64_ASZ32_SC1_NSF
2b81	FLD_MANT64_ASZ64_SC1_NSF
2e41	FSTA_SEXPT16_ASZ32_SC1_NSF
2e83	FISTA_DSZ64_ASZ64_SC1_NSF
2f41	FSTA_MANT64_ASZ32_SC1_NSF
302a	PFPSHUF128MD
3081	PINTMOVXMM2XMMQ
308d	PINTPXORQ
30a2	PINTPBROADCASTD
30e2	DEALLOCATEVECPRF
3271	PFPSHUFDW_PACKEDSP
3273	PINTSHUFQW
32df	PFPGETELEMENTCNT_DSZ64
337a	PINTPUNPCKHDQ
3396	PINTPTEST256
